epoch,test_loss,test_accuracy,test_precision,test_f1_score
0,95.48178,0.13089005235602094,0.018698578908002993,0.03306878306878307
1,65.5792,0.13089005235602094,0.018698578908002993,0.03306878306878307
2,0.9875804,0.6570680628272252,0.7166750298225152,0.6378477104193486
3,10.5407915,0.15706806282722513,0.15528149348568498,0.07500252975047517
4,5.7610474,0.17015706806282724,0.37920024353499343,0.09132334910968286
5,1.5229256,0.5366492146596858,0.6785649689172663,0.47282412008386593
6,0.4030481,0.8403141361256544,0.8704663188136433,0.8380632334473271
7,2.0179274,0.5287958115183246,0.7270218946649116,0.4701806695188438
8,0.47646874,0.8075916230366492,0.8293559092216355,0.8076325680122803
9,1.2611655,0.637434554973822,0.7777357877644907,0.5772428632751606
10,0.25509965,0.9214659685863874,0.9266975760856297,0.9188596039512799
11,0.2842964,0.8887434554973822,0.8993476683777191,0.8872384227921675
12,0.22358844,0.930628272251309,0.9387106489190596,0.932037798520074
13,0.22989936,0.9162303664921466,0.9195524176453791,0.9152344710256219
14,0.1948541,0.9201570680628273,0.9216659850568357,0.9194001449323329
15,0.17507105,0.9384816753926701,0.9398770120816698,0.9377832939798606
16,1.496176,0.5929319371727748,0.7843565425196858,0.5803553543072206
17,1.3350409,0.7630890052356021,0.8645318605006105,0.7386486368789863
18,0.25060347,0.9267015706806283,0.9331613274933694,0.9258989581248297
19,0.16716641,0.9424083769633508,0.9438541441680278,0.940841160506893
20,0.14084384,0.9607329842931938,0.962752962662681,0.9604575322759789
21,0.1466649,0.9594240837696335,0.9616297417134921,0.9592689470241668
22,0.1303334,0.9659685863874345,0.9672686023578497,0.9655822769691556
23,0.13773945,0.9620418848167539,0.9633796807341332,0.9617051207813129
24,0.13409308,0.9672774869109948,0.9684971645079363,0.9668057745245715
25,0.122422315,0.9659685863874345,0.9664670943144388,0.9655260640514641
26,0.13652162,0.9633507853403142,0.9647800895499462,0.9631624223761296
27,0.12635247,0.9646596858638743,0.9656313689411978,0.9645939728759048
28,0.12847415,0.9620418848167539,0.9628117325712806,0.9615484280023826
29,0.13267651,0.9646596858638743,0.9659091415524713,0.9639173438434181
30,0.13160954,0.9620418848167539,0.9636727579618535,0.9615405682142573
31,0.13644534,0.9581151832460733,0.9595876520657967,0.9579448131674245
32,0.12922177,0.9633507853403142,0.9644203008087497,0.9631459156813243
33,0.13318759,0.9581151832460733,0.9605578535623838,0.9574947789375041
34,0.14102459,0.9581151832460733,0.9605483727180534,0.9577777372090762
35,0.13144805,0.9594240837696335,0.9609666253430837,0.958946177227561
36,0.12241666,0.9685863874345549,0.9692600829750418,0.9683214890638532
37,0.12469307,0.9685863874345549,0.969234888918426,0.9679431774491652
38,0.13084923,0.9646596858638743,0.9657396134253334,0.9641367347101871
39,0.12486343,0.9659685863874345,0.9668690281510177,0.9657558940755013
40,0.12384392,0.9646596858638743,0.9656440207850908,0.9640345369509417
41,0.12802829,0.9672774869109948,0.9676375987732817,0.9667479378192123
42,0.12728801,0.9659685863874345,0.9674110982067097,0.9655432438517294
43,0.13252752,0.9659685863874345,0.966849691653683,0.9654814323371085
44,0.13173863,0.9646596858638743,0.9654780167073032,0.9641590112190095
45,0.13500224,0.9607329842931938,0.9626964193975925,0.9604068383626158
46,0.12807262,0.9620418848167539,0.9637882489196109,0.9617575190288656
47,0.13290992,0.9607329842931938,0.9620902056209862,0.9602459785057297
48,0.12710679,0.9633507853403142,0.9645027533102652,0.9628057762909028
49,0.12537868,0.9633507853403142,0.9646762951337741,0.9629134909600844
50,0.13240452,0.9633507853403142,0.9650578257414156,0.9630382549964375
51,0.13083522,0.9633507853403142,0.9650499749698523,0.9629118112650404
52,0.12931702,0.9672774869109948,0.9685067505923121,0.9667636469605076
53,0.12903948,0.9633507853403142,0.9649651537555918,0.9629763614974948
54,0.12681445,0.9620418848167539,0.9633189129959902,0.9614660790845042
55,0.12762819,0.9633507853403142,0.9644386394528218,0.9631133572785131
56,0.12689295,0.9659685863874345,0.9668401307745571,0.9655310066611691
57,0.13228522,0.9620418848167539,0.9639329775441597,0.9617533826727874
58,0.12623045,0.9646596858638743,0.9656140389519255,0.9643698997232347
59,0.13192269,0.9633507853403142,0.9650117530850817,0.9629904958164885
60,0.13355355,0.9633507853403142,0.9646611344969395,0.9629265575061768
61,0.13091931,0.9633507853403142,0.9650269137219162,0.962977429270396
62,0.13324979,0.9620418848167539,0.9633267637675534,0.9615925228159011
63,0.13158694,0.9620418848167539,0.9638143222680948,0.9618002786511669
64,0.13595602,0.9620418848167539,0.9642033329254199,0.9617333369233151
65,0.13155128,0.9594240837696335,0.9609133007850053,0.9590271360371003
66,0.13094436,0.9633507853403142,0.96504385646705,0.962919098480261
67,0.13046631,0.9646596858638743,0.9661938611305959,0.9641964620762694
68,0.13279174,0.9607329842931938,0.962136804950476,0.9602601128247231
69,0.12741438,0.9633507853403142,0.9649651537555918,0.9629763614974948
70,0.1287377,0.9607329842931938,0.9620832602942327,0.9603545464706306
71,0.12919724,0.9646596858638743,0.9662017119021591,0.9643229058076664
72,0.12723203,0.9646596858638743,0.9658371240396512,0.9641398109811783
73,0.12803213,0.9672774869109948,0.9685067505923121,0.9667636469605076
74,0.12756369,0.9633507853403142,0.9644793632412887,0.9628767711381381
75,0.12955153,0.9633507853403142,0.9648115262132709,0.962832890124256
76,0.13297963,0.9633507853403142,0.9650499749698523,0.9629118112650404
77,0.13045704,0.9646596858638743,0.9664979648917557,0.9643512683481047
78,0.12722844,0.9646596858638743,0.9661351132648193,0.964303771931025
79,0.12779564,0.9646596858638743,0.9661877426277934,0.9642037492914899
