epoch,tra_loss,tra_iou
0,0.2356376878676876,0.86140996
1,0.12565081782879367,0.91653484
2,0.08771586466220117,0.9356688
3,0.06802991825726724,0.94759953
4,0.05670548590921586,0.9558828
5,0.053131544301586765,0.9574541
6,0.04828793339190945,0.96098727
7,0.04397408477962017,0.96454275
8,0.0416285372789829,0.9654982
9,0.04131804370591717,0.96536857
10,0.03578614990317052,0.9700456
11,0.03537111218658186,0.9703829
12,0.03255914566257308,0.97193754
13,0.03094380282826962,0.97319216
14,0.03458352266780792,0.96988124
15,0.03158190389794688,0.97232324
16,0.02683467778467363,0.9761045
17,0.02792665740895656,0.9750044
18,0.025304172428384904,0.97715735
19,0.02379812228102838,0.9780654
20,0.021648482389507756,0.9798302
21,0.022306998110105915,0.9794289
22,0.024928890889690768,0.97705674
23,0.02540976614240677,0.9770749
24,0.0226350296889582,0.9789281
25,0.02620599635185734,0.97584337
26,0.024828701670612057,0.9775652
27,0.021955549596778808,0.97933275
28,0.03560842513557403,0.9697899
29,0.026201171560152885,0.9761712
30,0.02091469633723459,0.9802783
31,0.021195181795666294,0.9798457
32,0.01959997256316485,0.98131704
33,0.01911012666119683,0.98166484
34,0.018415277222952536,0.98212034
35,0.019065164810707493,0.9816696
36,0.01850648831215597,0.9820502
37,0.017910805200376818,0.9825309
38,0.018017511784790025,0.98239464
39,0.017422654996475866,0.9828523
40,0.017542559262965957,0.98275316
41,0.01798189185079067,0.98240775
42,0.01752407437250499,0.98272943
43,0.017903699870071104,0.98242813
44,0.018015314854921832,0.9822864
45,0.01693696877168071,0.9832372
46,0.016571952420617302,0.9834978
47,0.016354258682939313,0.98377186
48,0.01690255577165273,0.98314875
49,0.016949314443815137,0.9831301
50,0.016629005541964885,0.9834395
51,0.016356484333594,0.98365694
52,0.016270110293501807,0.9837217
53,0.016284342885257735,0.9836774
54,0.01739904879321975,0.9829671
55,0.020518191098686186,0.9801618
56,0.018934453386933572,0.9814239
57,0.019459231305987604,0.98119915
58,0.017265295880215782,0.9828446
59,0.016044721007347107,0.98394215
60,0.016124011588192756,0.9838102
61,0.017222425630015713,0.9828582
62,0.0165446356780106,0.98344994
63,0.019107034099438498,0.9817574
64,0.021250577523343025,0.9799409
65,0.019764171913266182,0.98085314
66,0.01700206365316145,0.9831311
67,0.01710288992692386,0.98306084
68,0.016456430237139424,0.9834864
69,0.016021117417802735,0.983937
70,0.015788185320073558,0.9840621
71,0.015839153209761266,0.98402494
72,0.015678133364887006,0.98416746
73,0.015323336897117476,0.98450506
74,0.015513310028660682,0.9842473
75,0.01543652470554075,0.9844235
76,0.015661883047751842,0.9841529
77,0.015455668641915244,0.9843449
78,0.015187579447463635,0.98456675
79,0.015046373850876284,0.9846577
